Northern Ireland House Price Index,_source_sheet,Table of Contents,Unnamed: 1,Unnamed: 2,"Table 1: NI House Price Index, Standardised Price and Quarterly and Annual Change",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Table 2: Northern Ireland House Price Index by Type,Table 2a: NI Detached Property Price Index,Table 2b: NI Semi-Detached Property Price Index,Table 2c: NI Terrace Property Price Index,Table 2d: NI Apartments Price Index,Table 3: Northern Ireland House Price Index by Dwelling Type,Table 3a: NI New Dwellings Price Index,Table 3b: NI Existing Resold Dwellings Price Index,Table 3c: Number of Verified Residential Property Sales - New & Old Dwellings,Table 4: Number of Verified Residential Property Sales,Table 5: Standardised House Price & Index for each Local Government District Northern Ireland,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Table 5a: Number of Verified Residential Property Sales by Local Government District,Table 6: Standardised House Price & Index for all Urban and Rural areas in NI,Table 7: Standardised House Price & Index for Rural Areas of Northern Ireland by drive times,"Table 8: Number of Verified Residential Property Sales of properties in urban and rural areas and properties in rural areas by drive times witihn towns of 10,000 or more and within 1 hour of Belfast",Table 9: NI Average Sales Prices Q1 2005 - Q4 2025,Table 10a: Number of Verified Residential Property Sales by Type in Antrim and Newtownabbey Council,Table 10b: Number of Verified Residential Property Sales by Type in Ards and North Down Council,"Table 10c: Number of Verified Residential Property Sales by Type in Armagh City, Banbridge and Craigavon Council",Table 10d: Number of Verified Residential Property Sales by Type in Belfast Council,Table 10e: Number of Verified Residential Property Sales by Type in Causeway Coast and Glens Council,Table 10f: Number of Verified Residential Property Sales by Type in Derry City and Strabane Council,Table 10g: Number of Verified Residential Property Sales by Type in Fermanagh and Omagh Council,Table 10h: Number of Verified Residential Property Sales by Type in Lisburn and Castlereagh Council,Table 10i: Number of Verified Residential Property Sales by Type in Mid and East Antrim Council,Table 10j: Number of Verified Residential Property Sales by Type in Mid Ulster Council,"Table 10k: Number of Verified Residential Property Sales by Type in Newry, Mourne and Down Council"
"The tables show the Northern Ireland House Price Index, standardised price and associated statistics for the series from Q1 2005 to Q4 2025",Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please note the House Price Index series is now referenced to Q1 2023 = 100,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data published in these tables are based on verified residential property sales as recorded by Her Majesty Revenue & Customs.  Verified sales are defined as sales which could be matched to a domestic property in the NI Valuation List.  For further information please contact Land & Property Services using the contact details below.,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new property is defined as the first sale of a property after it has been entered into the NI Valuation List.  An existing resold property is defined as the sale of a property which already exists in the NI Valuation List. ,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Verified sales numbers reported for new dwellings only includes those which were in the NI Valuation List when sold.
Numbers for sales of new dwellings for the most recent two quarters are not yet complete, so they are not included in the report.  ",Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urban - Rural Classification is sourced from NISRA Geography, more details can be found at: ",Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed description of the NISRA Urban Rural Classification ,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The data in these tables were published on 18 February 2026
The results for the most recent quarter are provsional and will be subject to revision when results for the next quarter are released on 20 May 2026.  ",Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our statistical practice is regulated by the Office for Statistics Regulation (OSR),Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact Details
Ciara Cunningham
Land and Property Services

",Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPS.StatisticsBranch@finance-ni.gov.uk,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains public sector information licensed under the Open Government Licence v3.0.,Cover Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Worksheet Name,Frequency,House Price Index - Quarter 1 2005 to Quarter 4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 1,Quarterly,Table 1: NI HPI Trends Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 1,Quarterly,Figure 1: Graph of NI HPI Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 1a,Quarterly,Figure 1a: Graph of Percentage Quarterly Change Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 1b,Quarterly,Figure 1b: Graph of Percentage Annual Change Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 2,Quarterly,Table 2: NI HPI & Standardised Price Statistics by Property Type Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 2a,Quarterly,Table 2a: NI Detached Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 2a,Quarterly,Figure 2a: Graph of NI Detached Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 2b,Quarterly,Table 2b: NI Semi-Detached Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 2b,Quarterly,Figure 2b: Graph of NI Semi-Detached Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 2c,Quarterly,Table 2c: NI Terrace Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 2c,Quarterly,Figure 2c: Graph of NI Terrace Property Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 2d,Quarterly,Table 2d: NI Apartment Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 2d,Quarterly,Figure 2d: Graph of NI Apartment Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 3,Quarterly,Table 3: NI HPI & Standardised Price Statistics by New/Existing Resold Dwelling Type Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 3a,Quarterly,Table 3a: NI New Dwelling Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 3a,Quarterly,Figure 3a: Graph of NI New Dwellings Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 3b,Quarterly,Table 3b: NI Existing Resold Dwellings Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 3b,Quarterly,Figure 3b: Graph of NI Existing Resold Dwellings Price Index Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 3c,Quarterly,Table 3c: Number of Verified Residential Property Sales by New/Existing Resold Dwellings Q1 2005 - Q2 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 4,Quarterly,Table 4: Number of Verified Residential Property Sales Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5,,Figure 5: Map of Local Government Districts in Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 5,Quarterly,Table 5: HPI & Standardised Price for each Local Government District in NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 5a,Quarterly,Table 5a: Number of Verified Residential Property Sales by Local Government District Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5a,Quarterly,Figure 5a: Graph of HPI Antrim and Newtownabbey Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5b,Quarterly,Figure 5b: Graph of HPI Ards and North Down Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5c,Quarterly,"Figure 5c: Graph of HPI Armagh City, Banbridge and Craigavon Council Q1 2005 - Q4 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5d,Quarterly,Figure 5d: Graph of HPI Belfast City Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5e,Quarterly,Figure 5e: Graph of HPI Causeway Coast and Glens Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5f,Quarterly,Figure 5f: Graph of HPI Derry City and Strabane Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5g,Quarterly,Figure 5g: Graph of HPI Fermanagh and Omagh Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5h,Quarterly,Figure 5h: Graph of HPI Lisburn and Castlereagh Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5i,Quarterly,Figure 5i: Graph of HPI Mid and East Antrim Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5j,Quarterly,Figure 5j: Graph of HPI Mid Ulster Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 5k,Quarterly,"Figure 5k: Graph of HPI Newry, Mourne and Down Council Q1 2005 - Q4 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 6,,Figure 6: Map of Urban & Rural areas in Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 6,Quarterly,Table 6: NI HPI & Standardised Price by Urban and Rural areas of Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 6a,Quarterly,Figure 6a: Graph of HPI Urban Areas of NI Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 6b,Quarterly,Figure 6b: Graph of HPI Rural Areas of NI Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 7,Quarterly,Table 7: Standardised House Price & Index for Rural Areas of Northern Ireland by drive times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 8,Quarterly,Table 8: Number of Verified Residential Property Sales for Urban and Rural Areas of NI (Q1 2005 - Q4 2025) and Rural Areas of NI by drive times (Q1 2015 - Q4 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 9,Quarterly,Table 9: NI Average Sale Prices All Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 9,Quarterly,Figure 9: Graph of NI Average Sale Prices All Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 9a,Quarterly,Table 9a: NI Average Sale Prices Detached Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 9a,Quarterly,Figure 9a: Graph of NI Average Sale Prices Detached Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 9b,Quarterly,Table 9b: NI Average Sale Prices Semi-Detached Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 9b,Quarterly,Figure 9b: Graph of NI Average Sale Prices Semi-Detached Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 9c,Quarterly,Table 9c: NI Average Sale Prices Terrace Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 9c,Quarterly,Figure 9c: Graph of NI Average Sale Prices Terrace Properties Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 9d,Quarterly,Table 9d: NI Average Sale Prices Apartments Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 9d,Quarterly,Figure 9d: Graph of NI Average Sale Prices Apartments Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10a,Quarterly,Table 10a: Number of Verified Residential Property Sales by Type in Antrim and Newtownabbey Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10b,Quarterly,Table 10b: Number of Verified Residential Property Sales by Type in Ards and North Down Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10c,Quarterly,"Table 10c: Number of Verified Residential Property Sales by Type in Armagh City, Banbridge and Craigavon Council Q1 2005 - Q4 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10d,Quarterly,Table 10d: Number of Verified Residential Property Sales by Type in Belfast Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10e,Quarterly,Table 10e: Number of Verified Residential Property Sales by Type in Causeway Coast and Glens Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10f,Quarterly,Table 10f: Number of Verified Residential Property Sales by Type in Derry City and Strabane Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10g,Quarterly,Table 10g: Number of Verified Residential Property Sales by Type in Fermanagh and Omagh Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10h,Quarterly,Table 10h: Number of Verified Residential Property Sales by Type in Lisburn and Castlereagh Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10i,Quarterly,Table 10i: Number of Verified Residential Property Sales by Type in Mid and East Antrim Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10j,Quarterly,Table 10j: Number of Verified Residential Property Sales by Type in Mid Ulster Council Q1 2005 - Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Table 10k,Quarterly,"Table 10k: Number of Verified Residential Property Sales by Type in Newry, Mourne and Down Council Q1 2005 - Q4 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contents,Figure 11,Quarterly,"Figure 11: Number of Verified Residential Property Sales recorded as sold in Q3 2025 in each £25,000 price band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,Index is referenced to Q1 2023 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,,,Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Quarter,NI House Price Index,Year,NI House Standardised Price,Quarterly Change,Annual Change,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,65.18769406048092,2005,105916.22650082543,,,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,67.56627236463876,,109780.91357166109,0.03648814915819854,,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,71.8660876956208,,116767.20478922554,0.06363848678490036,,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,74.36350147867195,,120824.97439933801,0.03475093556822803,,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,76.47657517979955,2006,124258.2726002825,0.028415468060412008,0.17317503375475815,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,83.82483485897654,,136197.64164506705,0.0960851039929669,0.24063133757911442,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,93.50000220095875,,151917.74388822986,0.11542125144963669,0.30103092013253163,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,104.74806908789532,,170193.47548548307,0.1203001777771213,0.40859517108588417,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,115.87821193115555,2007,188277.60543307025,0.10625630563099735,0.5152118365489189,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,126.24612154048064,,205123.26746097568,0.08947246800360346,0.5060706263587865,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,130.85849415793436,,212617.3982152125,0.0365347668599448,0.39955605430555313,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,124.8004715098619,,202774.39167558774,-0.04629445483883515,0.19143457818912513,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,115.5353657794423,2008,187720.552891434,-0.07423934876469959,-0.002958676579484456,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,108.2448751408726,,175875.04632909925,-0.06310180947093981,-0.14258851028414346,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,97.89542714751495,,159059.3805255819,-0.09561143638337254,-0.2518985658709779,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,89.56536095953928,,145524.78339266422,-0.08509147394007904,-0.282331549905549,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,81.65331221389509,2009,132669.37626242096,-0.08833826672365463,-0.29326131732017235,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,82.40975335925562,,133898.43326223164,0.009264059532318654,-0.23867293253370658,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,82.62834573771453,,134253.59968132182,0.002652506160356774,-0.15595295770858666,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,82.703938804115,,134376.42243887074,0.0009148563453082527,-0.07660798864556459,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,79.03900474066926,2010,128421.67910933433,-0.04431389987514585,-0.03201716381544353,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,78.34785162550841,,127298.7013610463,-0.008744456201448267,-0.04928908980032768,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,76.97832136582946,,125073.50411677336,-0.01748012525250996,-0.06837876665012542,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,72.52351078236919,,117835.37836963027,-0.057870975937359875,-0.1230948388789347,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,69.32517376991541,2011,112638.75664033993,-0.04410069200940157,-0.12289920657054564,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,68.2293114927992,,110858.2120325024,-0.01580756624935826,-0.12914891631074196,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,67.04432189854722,,108932.8543699125,-0.017367749554046658,-0.1290493127288681,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,65.159003522487,,105869.61043985885,-0.028120477956554275,-0.10154648031287167,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,60.9891078125592,2012,99094.4111501315,-0.0639956949078991,-0.12024587179576258,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,61.14931590666676,,99354.71544570941,0.0026268312466536685,-0.10376765397786039,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,59.45961064146922,,96609.30148119252,-0.027632447561254235,-0.11312980789865155,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,58.038946958393765,,94301.02323010865,-0.023892919374158036,-0.10927202963802282,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,56.74693619524904,2013,92201.77878523266,-0.022261099328196362,-0.06955621699448086,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,57.795933173232385,,93906.17718618976,0.01848552623835165,-0.05483925181685921,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,58.923105552540065,,95737.59409321306,0.019502624448145756,-0.009023017190007906,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,59.33941503294812,,96414.00901871157,0.007065301064908087,0.022406817192713983,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,60.324215239858766,2014,98014.10123360774,0.01659605519137389,0.0630391574322425,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,62.339804034002924,,101289.00706253658,0.0334125986741784,0.07861921438574485,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,63.55450042235985,,103262.63198750446,0.019485085126260217,0.07860065803371655,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,64.5060656892874,,104808.72444858626,0.014972429341805732,0.08706945718070365,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,64.61673605209612,2015,104988.54039978866,0.0017156582350223548,0.07115750773001517,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,66.5971729454639,,108206.33181873221,0.030648977561650408,0.06829294665634195,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,68.56319297662952,,111400.69888336406,0.029521073406157814,0.0788094080038981,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q4,69.16886863271952,,112384.7938249177,0.00883383094915738,0.072284720725209,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q1,69.22433758990198,2016,112474.919157887,0.000801935296599841,0.0713066276527967,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q2,71.78620084356034,,116637.40553740012,0.037008129551709394,0.07791663922950169,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,,Q3,72.64900478440752,,118039.27960184836,0.012019077910634201,0.0595919126632666,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
